count_11_00	count_11_15	count_11_60	count_12_00	count_12_15	count_12_60	count_13_00	count_13_15	count_13_60
BnaA01g01050D	3	14	4	8	7	2	9	2	5
BnaA01g01060D	11	24	3	10	0	6	17	7	2
BnaA01g01070D	859	1224	657	744	745	386	538	612	274
BnaA01g01080D	9419	12926	7068	9596	8973	6992	13355	11004	6031
BnaA01g01090D	4	3	2	3	0	1	0	0	0
BnaA01g01100D	1519	2316	2455	1797	1790	2183	2323	2548	4216
BnaA01g01110D	9	5	11	46	29	21	9	5	22
BnaA01g01120D	1026	1509	1020	2629	2484	1837	1107	1177	710
BnaA01g01130D	2	4	0	1	0	0	0	1	0
BnaA01g01140D	927	691	168	312	207	83	4179	1506	546
BnaA01g01150D	199	151	47	63	30	22	723	281	129
BnaA01g01160D	0	1	2	1	0	0	3	4	0
BnaA01g01170D	2898	4943	4715	4472	4344	5170	4865	4973	5103
BnaA01g01180D	3138	5332	4832	5520	4895	5456	5778	5639	6679
BnaA01g01190D	26	41	18	59	80	19	0	2	0
BnaA01g01200D	42	70	36	91	122	56	16	12	11
BnaA01g01210D	345	471	422	340	301	301	394	329	486
BnaA01g01220D	31	63	34	92	41	39	66	56	70
BnaA01g01230D	1380	2243	901	2672	2004	1050	2270	1838	2278
BnaA01g01240D	551	657	512	839	697	698	807	618	578
BnaA01g01250D	131	197	185	135	159	142	364	430	291
BnaA01g01260D	20	24	15	27	19	41	42	26	30
BnaA01g01270D	2056	2571	1886	1793	1598	1365	2719	2806	2144
BnaA01g01280D	2	10	1	8	5	3	7	3	2
BnaA01g01290D	1	4	1	0	0	0	0	0	0
BnaA01g01300D	14	22	17	5	4	7	10	9	0
BnaA01g01310D	1451	2068	1316	1878	1635	1455	2662	2627	1726
BnaA01g01320D	48	62	67	18	24	8	26	39	31
BnaA01g01330D	3126	4259	4326	4302	3965	3956	5503	5980	5295
BnaA01g01340D	1174	1541	1045	991	922	950	1485	1588	1086
BnaA01g01350D	0	0	0	0	0	0	0	2	0
BnaA01g01360D	1764	2213	1611	905	811	754	8987	7967	5712
BnaA01g01370D	2	4	2	0	0	1	0	3	0
BnaA01g01380D	0	2	1	1	0	0	1	0	0
BnaA01g01390D	0	0	0	0	0	0	0	0	0
BnaA01g01400D	370	469	335	228	162	162	119	105	44
BnaA01g01410D	2887	3976	3211	4117	3727	3993	3067	3387	4011
BnaA01g01420D	1085	1448	1231	621	554	577	896	1054	1059
BnaA01g01430D	75	105	103	66	45	52	126	144	67
BnaA01g01440D	3	4	8	6	2	3	0	0	0
BnaA01g01450D	85	122	77	181	174	120	91	110	53
BnaA01g01460D	1271	1769	965	1419	1295	878	1002	1186	531
BnaA01g01470D	395	482	410	358	279	267	828	882	716
BnaA01g01480D	37	55	45	36	32	30	63	74	29
BnaA01g01490D	0	0	0	0	0	0	0	1	0
BnaA01g01500D	410	666	369	451	366	329	567	684	394
BnaA01g01510D	0	3	3	9	1	0	5	12	13
BnaA01g01520D	3924	5142	4197	3398	3371	3881	2686	3286	2709
BnaA01g01530D	0	0	0	2	0	0	0	0	0
BnaA01g01540D	761	1244	1561	1083	1102	1507	1109	1265	1782
BnaA01g01550D	28111	32929	19099	35637	30359	18839	33065	20613	15680
BnaA01g01560D	1317	1961	1432	2654	2740	2679	2405	2407	2105
BnaA01g01570D	504	737	618	962	912	846	989	991	589
BnaA01g01580D	168	210	117	220	177	139	253	226	189
BnaA01g01590D	260	328	219	367	339	278	374	370	364
BnaA01g01600D	4	18	7	7	3	11	6	7	9
BnaA01g01610D	4	8	5	4	0	4	6	4	2
BnaA01g01620D	238	520	311	310	339	309	258	266	206
BnaA01g01630D	126	209	102	195	142	140	432	431	296
BnaA01g01640D	0	8	0	10	4	1	10	7	3
BnaA01g01650D	1059	1522	1217	1209	1211	1143	1324	1565	1087
BnaA01g01660D	54	57	79	82	106	91	268	263	209
BnaA01g01670D	4303	5605	5874	6202	5557	6311	5385	5777	8267
BnaA01g01680D	4870	6841	4508	4939	4365	3790	6216	6460	4615
BnaA01g01690D	5614	6629	4767	2863	2553	2249	7699	7082	5795
BnaA01g01700D	3337	3951	5615	2459	2211	3312	11163	12144	12892
BnaA01g01710D	0	0	0	0	0	0	3	3	1
BnaA01g01720D	0	0	0	0	0	0	0	0	0
BnaA01g01730D	0	0	0	0	0	0	0	0	0
BnaA01g01740D	0	0	0	0	2	0	0	0	0
BnaA01g01750D	4225	6247	8230	8691	8650	12064	3681	4659	8608
BnaA01g01760D	91	115	127	115	91	92	160	123	90
BnaA01g01770D	1	0	0	0	0	1	3	0	0
BnaA01g01780D	3158	5241	7500	9141	8694	10409	3382	3658	7166
BnaA01g01790D	3206	4403	3732	10595	9653	10066	4574	4988	5505
BnaA01g01800D	6968	9006	13765	9796	8898	12647	17857	16556	19189
BnaA01g01810D	51	104	65	166	141	157	189	231	202
BnaA01g01820D	0	0	0	1	2	0	0	1	0
BnaA01g01830D	0	0	0	1	1	4	0	2	4
BnaA01g01840D	13	33	114	42	95	249	19	59	189
BnaA01g01850D	0	0	1	0	0	0	0	0	0
BnaA01g01860D	21	7	5	20	17	25	37	38	25
BnaA01g01870D	2472	3550	2263	5161	4479	3643	4386	4063	3334
BnaA01g01880D	130	195	117	309	238	227	296	259	171
BnaA01g01890D	4208	5906	3868	7280	7747	5350	4785	4885	3579
BnaA01g01900D	3542	4850	3878	4618	4180	3950	4011	4117	3633
BnaA01g01910D	254	368	251	447	468	394	338	314	256
BnaA01g01920D	630	878	721	1635	1529	1445	994	995	941
BnaA01g01930D	118	135	88	118	100	89	135	116	98
BnaA01g01940D	28	52	23	68	36	18	5	8	9
BnaA01g01950D	201	272	196	351	295	303	369	367	300
BnaA01g01960D	169	251	147	227	243	156	287	307	150
BnaA01g01970D	23240	32165	37844	36692	37632	46540	30656	39964	42379
BnaA01g01980D	5086	6657	5312	7118	6241	6387	5873	6104	6074
BnaA01g01990D	91	113	169	236	163	244	172	215	272
BnaA01g02000D	0	0	3	0	0	0	2	0	0
BnaA01g02010D	0	0	0	0	0	0	0	2	0
BnaA01g02020D	81	79	60	61	56	46	96	102	71
BnaA01g02030D	1	0	1	0	0	0	2	4	0
BnaA01g02040D	2323	3392	2445	3042	2934	2521	1807	2161	1528
BnaA01g02050D	813	1042	1159	1199	1005	1083	1439	1489	1391
BnaA01g02060D	11	11	10	14	3	11	15	18	4
BnaA01g02070D	26	41	27	44	19	21	131	93	63
BnaA01g02080D	60	87	46	102	84	93	404	380	292
BnaA01g02090D	4076	5359	4575	1864	1685	1760	7010	6608	6008
